제목,작가,삽화가,별점,다운로드수,연재일,장르,하트수,이미지주소
우연은 필연보다 강하다,그리며,녹슨유리,9.94,다운로드 63만,"수, 일 연재",로맨스,"4,015",./img_data/우연은 필연보다 강하다.jpg
이별금지에관한법률,골든애플,sona,9.93,다운로드 73만,"월, 수 연재",로맨스,"3,530",./img_data/이별금지에관한법률.jpg
오빠와 오빠 사이,유은이,홍복,9.81,다운로드 16만,"수, 토 연재",로맨스,"1,993",./img_data/오빠와 오빠 사이.jpg
나도 사랑은 처음이야,로아J,모히토,9.94,다운로드 60만,"수, 일 연재",로맨스,"3,837",./img_data/나도 사랑은 처음이야.jpg
라르고 웨딩,노승아,Awin,9.85,다운로드 59만,"월, 금 연재",로맨스,"5,101",./img_data/라르고 웨딩.jpg
일상의 히어로,플아다,팻녹,9.9,다운로드 145만,"수, 일 연재",로맨스,"9,314",./img_data/일상의 히어로.jpg
나의 수컷 강아지,천지혜,JYUN,9.87,다운로드 17만,"월, 목 연재",로맨스,"4,026",./img_data/나의 수컷 강아지.jpg
너 말고 니 언니,용감한 자매,JYUN,9.85,다운로드 97만,"화, 토 연재",로맨스,"5,847",./img_data/너 말고 니 언니.jpg
이상한 나라의 왕자님,이대성,룽시,9.87,다운로드 13만,"화, 토 연재",로맨스,"3,682",./img_data/이상한 나라의 왕자님.jpg
승은궁녀스캔들,김정화(카밀),나래,9.95,다운로드 181만,"화, 금 연재",로맨스,"10,812",./img_data/승은궁녀스캔들.jpg
이혼에 실패하는 법,하수영,DT,9.82,다운로드 91만,"월, 목 연재",로맨스,"3,110",./img_data/이혼에 실패하는 법.jpg
사임당 the Herstory,러닝쇼,NOVA,9.81,다운로드 5만,"수, 토 연재",로맨스,"1,371",./img_data/사임당 the Herstory.jpg
애타는 로맨스,Lunar 이지연,재림,9.92,다운로드 187만,"화, 토 연재",로맨스,"11,412",./img_data/애타는 로맨스.jpg
마섹남-마술하는 섹시한 남자,육시몬,still,9.95,다운로드 9만,"목, 일 연재",로맨스,"3,005",./img_data/마섹남-마술하는 섹시한 남자.jpg
속도위반,박타래,Kymawave,9.94,다운로드 160만,"수, 토 연재",로맨스,"8,164",./img_data/속도위반.jpg
사랑 너에게 분다,김선민,꽁,9.95,다운로드 79만,"월, 목 연재",로맨스,"4,557",./img_data/사랑 너에게 분다.jpg
내 인생 최고의 선물,황민,yy,9.93,다운로드 174만,"화, 금 연재",로맨스,"6,552",./img_data/내 인생 최고의 선물.jpg
날 미치게 하는 그대,이달아,yy,9.93,다운로드 198만,"월, 목 연재",로맨스,"8,004",./img_data/날 미치게 하는 그대.jpg
달달 무슨 달,닻별,정이나,9.89,다운로드 6만,"월, 목 연재",로맨스,"1,842",./img_data/달달 무슨 달.jpg
미스터 군주,욘더,DK,9.95,다운로드 142만,"화, 토 연재",로맨스,"6,055",./img_data/미스터 군주.jpg
태양을 사랑한 달,초콜릿악마,주지스,9.93,다운로드 45만,"월, 금 연재",로맨스,"6,654",./img_data/태양을 사랑한 달.jpg
사또의 여자가 되겠나이다,서은진,샤이네아,9.94,다운로드 15만,"월, 토 연재",로맨스,"3,018",./img_data/사또의 여자가 되겠나이다.jpg
이별이 떠났다,소재원,살구,9.92,다운로드 28만,"월, 수, 토 연재",로맨스,"2,586",./img_data/이별이 떠났다.jpg
왕세자의 프러포즈,서이나,이신,9.97,다운로드 59만,"수, 토 연재",로맨스,"4,320",./img_data/왕세자의 프러포즈.jpg
미쁨이지 아니한가,cosmos,반지,9.92,다운로드 50만,"화, 금 연재",로맨스,"9,351",./img_data/미쁨이지 아니한가.jpg
사랑해 악마,장현미,한소,9.71,다운로드 110만,"화, 금 연재",로맨스,"5,890",./img_data/사랑해 악마.jpg
위험한 파트너,이조영,JSR,9.92,다운로드 9만,"목, 일 연재",로맨스,"2,020",./img_data/위험한 파트너.jpg
로맨스 인디고,Moonlight'L,네이버웹소설,7.57,다운로드 2만,"화, 목, 일 연재",로맨스,"1,980",./img_data/로맨스 인디고.jpg
나쁜 관계,안테,TAPIRP,9.96,다운로드 449만,"수, 토 연재",로맨스,"18,796",./img_data/나쁜 관계.jpg
안녕 나의 로맨티스트,설래인,ilssa,9.96,다운로드 56만,"화, 목, 일 연재",로맨스,"3,825",./img_data/안녕 나의 로맨티스트.jpg
집착,최나루,쿠낙,9.92,다운로드 163만,"월, 금 연재",로맨스,"9,391",./img_data/집착.jpg
조선연애실록,로즈빈,ilssa,9.96,다운로드 256만,"목, 일 연재",로맨스,"6,794",./img_data/조선연애실록.jpg
엑스터시 그녀,한유주,sizh,9.95,다운로드 39만,"월, 목 연재",로맨스,"2,266",./img_data/엑스터시 그녀.jpg
작전명 스위트,백묘,kine,9.91,다운로드 40만,"목, 일 연재",로맨스,"3,994",./img_data/작전명 스위트.jpg
신데렐라의 킬힐,체크인,Rabbit J,9.95,다운로드 174만,"수, 토 연재",로맨스,"10,655",./img_data/신데렐라의 킬힐.jpg
통하지 않는 그녀,이경미,이수호,9.95,다운로드 41만,"수, 토 연재",로맨스,"4,897",./img_data/통하지 않는 그녀.jpg
빨간 거짓말,디망쉬,KENKINI,9.87,다운로드 36만,"수, 일 연재",로맨스,"2,446",./img_data/빨간 거짓말.jpg
파혼은 어떻게 하나요,강하다,웃는해,9.95,다운로드 126만,"월, 금 연재",로맨스,"14,061",./img_data/파혼은 어떻게 하나요.jpg
발칙한 그 남자,달콤J,녹슨유리,9.94,다운로드 126만,"화, 토 연재",로맨스,"7,874",./img_data/발칙한 그 남자.jpg
악마적 취향,이하린,권정아,9.95,다운로드 73만,"수, 일 연재",로맨스,"7,062",./img_data/악마적 취향.jpg
운정궁 야사,청몽채화,Aggie.R,9.91,다운로드 88만,"화, 금 연재",로맨스,"6,627",./img_data/운정궁 야사.jpg
열렬하게 단하나,이른봄,still,9.93,다운로드 322만,"목, 일 연재",로맨스,"11,651",./img_data/열렬하게 단하나.jpg
가르쳐 주세요,플아다,재림,9.92,다운로드 458만,"월, 목 연재",로맨스,"13,685",./img_data/가르쳐 주세요.jpg
미치도록 너만을,Lunar 이지연,kira,9.92,다운로드 584만,"화, 토 연재",로맨스,"12,681",./img_data/미치도록 너만을.jpg
악랄하게 품다,은빈,구름,9.96,다운로드 46만,"수, 일 연재",로맨스,"3,399",./img_data/악랄하게 품다.jpg
당신의 여자가 되고 싶어요,별규,still,9.92,다운로드 224만,"수, 토 연재",로맨스,"6,561",./img_data/당신의 여자가 되고 싶어요.jpg
위험한 신혼부부,박수정(방울마마),Cierra,9.94,다운로드 534만,"수, 일 연재",로맨스,"16,041",./img_data/위험한 신혼부부.jpg
우리 집에 스타가 산다,김로아(진저더캣),도파민,9.93,다운로드 105만,"목, 일 연재",로맨스,"6,011",./img_data/우리 집에 스타가 산다.jpg
영애의 경호관,carbo,Aggie.R,9.95,다운로드 218만,"화, 목 연재",로맨스,"8,647",./img_data/영애의 경호관.jpg
아나운서 S의 비밀일기,용감한 자매,몰리비,9.88,다운로드 62만,"화, 토 연재",로맨스,"2,960",./img_data/아나운서 S의 비밀일기.jpg
늑대공자,월우,오트,9.97,다운로드 76만,"수, 토 연재",로맨스,"5,306",./img_data/늑대공자.jpg
비정상 로맨스,백영옥,쿠낙,9.92,다운로드 32만,"화, 금 연재",로맨스,"3,059",./img_data/비정상 로맨스.jpg
후회 끝엔 너,임혜,백사,9.94,다운로드 204만,"화, 금 연재",로맨스,"8,967",./img_data/후회 끝엔 너.jpg
썸남에서 겟남까지 - 공감백퍼연애백서,웹소설 작가,웹소설 삽화가,9.88,,"월, 목 연재",로맨스,"6,706",./img_data/썸남에서 겟남까지 - 공감백퍼연애백서.jpg
해시의 신루,윤이수,pepper,9.96,"다운로드 1,001만","월, 목 연재",로맨스,"24,349",./img_data/해시의 신루.jpg
야행 그들의 밤,다인 김민경,민브,9.93,다운로드 140만,"화, 토 연재",로맨스,"5,106",./img_data/야행 그들의 밤.jpg
슈퍼스타 미스 리,순수(soonsu),송백,9.92,다운로드 19만,"월, 목 연재",로맨스,"2,981",./img_data/슈퍼스타 미스 리.jpg
그리고 우리는 이혼했다,효월(김시현),DK,9.9,다운로드 86만,"수, 일 연재",로맨스,"4,124",./img_data/그리고 우리는 이혼했다.jpg
위험한 그의 본심,닻별,이수호,9.96,다운로드 39만,"월, 목 연재",로맨스,"5,178",./img_data/위험한 그의 본심.jpg
